iter	Passed	Remaining
0	229	160644
1	284	99390
2	340	79047
3	394	68576
4	502	69843
5	551	63787
6	604	59829
7	652	56478
8	689	52973
9	743	51333
10	795	49799
11	849	48691
12	903	47756
13	961	47120
14	1012	46215
15	1063	45471
16	1113	44729
17	1170	44353
18	1222	43812
19	1276	43396
20	1327	42911
21	1393	42939
22	1443	42502
23	1499	42224
24	1549	41832
25	1604	41605
26	1659	41354
27	1710	41060
28	1767	40886
29	1820	40655
30	1873	40421
31	1925	40194
32	1965	39730
33	2020	39583
34	2072	39385
35	2127	39235
36	2177	39025
37	2233	38915
38	2287	38763
39	2338	38582
40	2392	38452
41	2443	38287
42	2499	38195
43	2554	38079
44	2618	38108
45	2671	37985
46	2736	38024
47	2800	38041
48	2862	38028
49	2921	37985
50	2972	37822
51	3039	37871
52	3091	37735
53	3145	37626
54	3204	37578
55	3259	37489
56	3314	37393
57	3365	37247
58	3421	37168
59	3474	37060
60	3530	36981
61	3587	36915
62	3640	36811
63	3696	36734
64	3752	36663
65	3803	36537
66	3858	36449
67	3908	36330
68	3966	36273
69	4030	36276
70	4090	36241
71	4149	36192
72	4205	36124
73	4267	36099
74	4331	36096
75	4385	36009
76	4434	35882
77	4486	35779
78	4539	35683
79	4593	35598
80	4646	35509
81	4696	35395
82	4746	35285
83	4801	35211
84	4856	35135
85	4906	35032
86	4969	35018
87	5027	34964
88	5079	34873
89	5136	34814
90	5191	34745
91	5245	34663
92	5296	34568
93	5354	34520
94	5404	34418
95	5457	34336
96	5511	34263
97	5564	34179
98	5617	34101
99	5666	34000
100	5721	33931
101	5778	33877
102	5829	33786
103	5880	33697
104	5931	33611
105	5989	33563
106	6044	33501
107	6093	33401
108	6147	33332
109	6198	33245
110	6251	33170
111	6302	33087
112	6355	33016
113	6408	32941
114	6466	32893
115	6522	32838
116	6575	32764
117	6624	32673
118	6678	32608
119	6729	32526
120	6784	32465
121	6836	32388
122	6894	32342
123	6949	32281
124	7001	32204
125	7053	32130
126	7106	32062
127	7158	31989
128	7177	31768
129	7228	31695
130	7279	31618
131	7333	31556
132	7385	31484
133	7435	31405
134	7488	31342
135	7540	31270
136	7596	31219
137	7650	31155
138	7701	31083
139	7775	31102
140	7833	31056
141	7899	31041
142	7964	31023
143	8023	30978
144	8043	30789
145	8095	30717
146	8160	30700
147	8219	30658
148	8282	30628
149	8339	30577
150	8395	30525
151	8452	30473
152	8504	30405
153	8554	30329
154	8606	30262
155	8657	30191
156	8714	30140
157	8769	30081
158	8822	30018
159	8874	29949
160	8922	29870
161	8972	29798
162	9037	29774
163	9093	29719
164	9154	29682
165	9210	29628
166	9260	29556
167	9313	29493
168	9363	29419
169	9415	29354
170	9469	29294
171	9519	29223
172	9571	29157
173	9623	29091
174	9677	29031
175	9731	28973
176	9782	28906
177	9836	28845
178	9888	28782
179	9939	28715
180	9989	28645
181	10056	28622
182	10106	28551
183	10162	28500
184	10213	28431
185	10270	28380
186	10322	28317
187	10373	28251
188	10423	28181
189	10475	28118
190	10527	28054
191	10579	27990
192	10632	27931
193	10682	27861
194	10731	27790
195	10782	27726
196	10834	27663
197	10885	27598
198	10938	27539
199	10989	27474
200	11042	27415
201	11097	27358
202	11151	27301
203	11204	27242
204	11258	27184
205	11309	27120
206	11364	27066
207	11415	27001
208	11465	26936
209	11517	26873
210	11575	26825
211	11624	26758
212	11674	26692
213	11728	26636
214	11781	26575
215	11835	26521
216	11886	26456
217	11939	26399
218	11973	26297
219	12028	26244
220	12080	26184
221	12133	26126
222	12162	26015
223	12213	25953
224	12265	25894
225	12285	25766
226	12337	25707
227	12389	25647
228	12440	25586
229	12492	25528
230	12544	25469
231	12597	25411
232	12649	25352
233	12704	25299
234	12757	25243
235	12810	25187
236	12863	25129
237	12915	25070
238	12972	25021
239	13027	24969
240	13089	24929
241	13146	24881
242	13202	24829
243	13255	24772
244	13306	24711
245	13357	24651
246	13380	24539
247	13433	24483
248	13483	24421
249	13536	24366
250	13551	24241
251	13602	24181
252	13656	24128
253	13708	24071
254	13761	24015
255	13820	23970
256	13870	23908
257	13926	23858
258	13975	23795
259	14027	23738
260	14076	23675
261	14129	23620
262	14180	23562
263	14233	23506
264	14291	23459
265	14342	23400
266	14394	23344
267	14445	23285
268	14499	23231
269	14554	23179
270	14604	23119
271	14654	23059
272	14707	23004
273	14758	22946
274	14811	22890
275	14870	22843
276	14925	22792
277	15050	22846
278	15104	22792
279	15164	22746
280	15219	22693
281	15273	22639
282	15326	22583
283	15375	22521
284	15425	22462
285	15497	22432
286	15547	22373
287	15598	22314
288	15653	22261
289	15705	22203
290	15757	22146
291	15819	22104
292	15876	22053
293	15940	22012
294	15993	21957
295	16053	21910
296	16104	21852
297	16162	21803
298	16218	21751
299	16270	21693
300	16324	21639
301	16381	21589
302	16431	21528
303	16483	21471
304	16535	21414
305	16586	21356
306	16639	21300
307	16692	21245
308	16749	21194
309	16800	21136
310	16858	21086
311	16908	21027
312	16961	20971
313	17014	20916
314	17066	20859
315	17118	20801
316	17168	20742
317	17220	20686
318	17289	20649
319	17339	20590
320	17391	20533
321	17444	20478
322	17496	20421
323	17549	20365
324	17601	20309
325	17666	20267
326	17719	20212
327	17771	20155
328	17827	20103
329	17891	20060
330	17956	20018
331	18022	19976
332	18081	19928
333	18144	19882
334	18202	19832
335	18253	19775
336	18303	19716
337	18356	19659
338	18405	19600
339	18462	19548
340	18519	19496
341	18571	19440
342	18622	19382
343	18674	19326
344	18726	19268
345	18775	19210
346	18827	19152
347	18878	19095
348	18931	19039
349	18996	18996
350	19055	18946
351	19118	18901
352	19173	18847
353	19227	18793
354	19278	18735
355	19332	18680
356	19387	18627
357	19437	18569
358	19490	18512
359	19543	18457
360	19593	18399
361	19646	18344
362	19698	18287
363	19750	18231
364	19799	18172
365	19853	18117
366	19907	18062
367	19958	18006
368	20013	17952
369	20066	17896
370	20115	17838
371	20177	17790
372	20229	17734
373	20282	17679
374	20334	17622
375	20386	17567
376	20440	17513
377	20492	17456
378	20545	17401
379	20594	17342
380	20645	17286
381	20696	17229
382	20748	17172
383	20801	17117
384	20853	17062
385	20906	17006
386	20957	16950
387	21011	16895
388	21062	16839
389	21117	16785
390	21175	16734
391	21228	16679
392	21285	16627
393	21338	16572
394	21390	16517
395	21443	16461
396	21493	16404
397	21546	16349
398	21600	16295
399	21652	16239
400	21703	16183
401	21754	16126
402	21808	16071
403	21860	16016
404	21913	15961
405	21967	15907
406	22021	15853
407	22079	15802
408	22130	15745
409	22180	15688
410	22233	15633
411	22306	15593
412	22359	15537
413	22417	15486
414	22471	15432
415	22519	15374
416	22573	15319
417	22622	15262
418	22674	15206
419	22728	15152
420	22780	15096
421	22832	15041
422	22883	14985
423	22936	14930
424	22989	14875
425	23041	14820
426	23096	14766
427	23150	14712
428	23206	14659
429	23260	14605
430	23311	14549
431	23364	14494
432	23416	14439
433	23467	14383
434	23516	14326
435	23578	14276
436	23640	14227
437	23693	14172
438	23743	14116
439	23799	14063
440	23849	14006
441	23900	13951
442	23953	13896
443	24004	13840
444	24059	13786
445	24108	13729
446	24160	13674
447	24215	13621
448	24268	13566
449	24326	13514
450	24378	13459
451	24432	13405
452	24484	13350
453	24533	13293
454	24587	13239
455	24635	13181
456	24687	13127
457	24738	13071
458	24790	13016
459	24843	12962
460	24895	12906
461	24946	12851
462	24997	12795
463	25050	12741
464	25104	12687
465	25155	12631
466	25209	12577
467	25261	12522
468	25310	12466
